2018rank,City,State,2018estimate,2010Census,Change,2016 Land area(sqmi),2016 Land Area(km2),2016 Population Density(sqmi),2016 Population Density(km2),Location,Mayor
243,Independence,Missouri,"116,925","116,830",+0.08,77.8,01.5,"1,504",581,39°05′08″N 94°21′08″W / 39.0855°N 94.3521°W / 39.0855; -94.3521 ,Eileen Weir
244,Fairfield,California,"116,884","105,321",+10.98,40.9,105.9,"2,806","1,083",38°15′33″N 122°01′56″W / 38.2593°N 122.0321°W / 38.2593; -122.0321 ,Harry T. Price
245,Provo,Utah,"116,702","112,488",+3.75,41.7,108.0,"2,803","1,082",40°14′43″N 111°38′41″W / 40.2453°N 111.6448°W / 40.2453; -111.6448 ,Michelle Kaufusi
246,Clearwater,Florida,"116,478","107,685",+8.17,25.9,67.1,"4,415","1,705",27°58′44″N 82°46′00″W / 27.9789°N 82.7666°W / 27.9789; -82.7666 ,George N. Cretekos
247,College Station,Texas,"116,218","93,857",+23.82,51.0,132.1,"2,199",849,30°35′07″N 96°17′47″W / 30.5852°N 96.2964°W / 30.5852; -96.2964 ,Karl Mooney
248,West Jordan,Utah,"116,046","103,712",+11.89,32.3,83.7,"3,520","1,360",40°36′09″N 112°00′03″W / 40.6024°N 112.0008°W / 40.6024; -112.0008 ,
249,Carlsbad,California,"115,877","105,328",+10.02,37.7,97.6,"3,023","1,167",33°07′26″N 117°16′58″W / 33.1239°N 117.2828°W / 33.1239; -117.2828 ,Carl Armstrong-Champ
250,El Monte,California,"115,586","113,475",+1.86,9.6,4.9,"12,063","4,658",34°04′29″N 118°01′45″W / 34.0746°N 118.0291°W / 34.0746; -118.0291 ,Andre Quintero
251,Murrieta,California,"114,985","103,466",+11.13,33.6,87.0,"3,324","1,283",33°34′20″N 117°11′25″W / 33.5721°N 117.1904°W / 33.5721; -117.1904 ,
252,Temecula,California,"114,742","100,097",+14.63,37.3,96.6,"3,031","1,170",33°29′35″N 117°07′54″W / 33.4931°N 117.1317°W / 33.4931; -117.1317 ,
253,Springfield,Illinois,"114,694","116,250",−1.34,60.1,155.7,"1,925",743,39°47′28″N 89°38′41″W / 39.7911°N 89.6446°W / 39.7911; -89.6446 ,Jim Langfelder 
254,Palm Bay,Florida,"114,194","103,190",+10.66,65.7,170.,"1,676",647,27°59′08″N 80°39′45″W / 27.9856°N 80.6626°W / 27.9856; -80.6626 ,William Capote
255,Costa Mesa,California,"113,615","109,960",+3.32,15.7,40.7,"7,186",",775",33°39′57″N 117°54′44″W / 33.6659°N 117.9123°W / 33.6659; -117.9123 ,
256,Westminster,Colorado,"113,479","106,114",+6.94,31.7,82.1,"3,592","1,387",39°52′56″N 105°03′52″W / 39.8822°N 105.0644°W / 39.8822; -105.0644 ,Herb Atchison
257,North Charleston,South Carolina,"113,237","97,471",+16.18,73.7,190.9,"1,483",573,32°55′04″N 80°03′54″W / 32.9178°N 80.0650°W / 32.9178; -80.0650 ,R. Keith Summey
258,Miami Gardens,Florida,"113,069","107,167",+5.51,18.2,47.1,"6,212",",398",25°56′56″N 80°14′37″W / 25.9489°N 80.2436°W / 25.9489; -80.2436 ,Oliver G. Gilbert III
259,Manchester,New Hampshire,"112,525","109,565",+2.70,33.1,85.7,"3,339","1,289",42°59′06″N 71°26′39″W / 42.9849°N 71.4441°W / 42.9849; -71.4441 ,Joyce Craig 
